SID,POLICY_TYPE,ISWON,UNDERWRITER,STATE,INDUSTRY,DECLINED_REASON,EFFECTIVE_MONTH,EMPLOYEES,EFFECTIVE_YEAR,MARKET_SEGMENT,PLACING_BROKER,POLICY_LIMIT,COVERAGE,DEDUCTIBLE,PREMIUM,APPLICATION_DATE,BOUND_DATE,EXPIRING_PREMIUM,COMMISSION_PERCENT
SD-EIL-CHG-15-489146,New,0,005E0000003YmT2IAK,IL,Agriculture,Reservation Conflict,May,48,2015,NULL,a0kE0000001dLpgIAE,0,Workers Comp,0,0,3/9/2015,,,
SD-GCS-LA-15-501836,New,0,005E0000003XUasIAG,MD,Agriculture,NULL,Apr,2,2015,Small Business,a0kE0000001dLwmIAE,0,Workers Comp,0,0,4/15/2015,,,
SD-EIL-KC-15-486945,New,0,005E0000003XUczIAG,IL,Agriculture,Insufficient Information,Apr,48,2015,NULL,a0kE0000001dM3BIAU,0,Workers Comp,0,0,3/4/2015,,,
SD-EIL-HOU-16-619065,New,0,005E0000003XUbiIAG,CA,Agriculture,Nature of Insured's Business,Apr,77,2016,NULL,a0kE0000001dLNrIAM,0,Workers Comp,0,0,3/29/2016,,,
SD-GCS-ATL-15-484883,New,0,005E00000046CI1IAM,FL,Agriculture,NULL,Apr,2700,2015,Middle Market,a0kE0000001dKqJIAU,0,Workers Comp,0,0,2/25/2015,,,
SD-GCS-LA-15-501835,New,1,005E0000003XUasIAG,MD,Agriculture,NULL,Apr,2,2015,Small Business,a0kE0000001dLwmIAE,1000000,Workers Comp,0,629537,4/15/2015,4/24/2015,,
SD-EIL-CHG-15-500246,New,0,005E0000003XUhlIAG,ND,Agriculture,Nature of Insured's Business,Apr,1,2015,Small Business,a0kE00000033Q2CIAU,0,Workers Comp,0,0,4/9/2015,,,
SD-GCS-LA-13-115009,New,0,005E0000003XUfIIAW,CA,Agriculture,NULL,Jun,1900,2013,Middle Market,a0kE0000001dLEQIA2,0,Workers Comp,0,2878368,5/20/2013,,,5
NRG-LA-8312011-207850,New,1,005E0000003XUaLIAW,CA,Agriculture,NULL,Nov,200,2011,Middle Market,a0kE0000001dLCBIA2,10000,Workers Comp,0,629555,5/4/2013,11/1/2011,,7
HFC-NY-1162012-328539,New,1,005E00000068OfWIAU,AK,Agriculture,NULL,Dec,4450,2012,National Accounts,a0kE0000001dKrkIAE,0,DBA,0,425131,5/4/2013,12/31/2012,,10
NRG-LA-792012-294191,New,1,005E0000003XUaLIAW,CA,Agriculture,NULL,Aug,150,2012,Small Business,a0kE0000001dLCBIA2,10000,Workers Comp,0,180298,5/4/2013,8/8/2012,,7
SD-EIL-HOU-16-595680,New,1,005E0000003XUbNIAW,CT,Agriculture,NULL,Feb,4,2016,Small Business,a0kE00000049IihIAE,1000000,Workers Comp,0,149364,1/11/2016,1/29/2016,,7
SD-NRG-ATL-13-278458,New,0,005E0000003XUd7IAG,TN,Agriculture,No Broker Response,Sep,50,2013,Small Business,a0kE0000001dKjCIAU,0,Workers Comp,0,0,7/30/2013,,,
GCS-LA-8202012-306470,New,0,005E0000003XUcmIAG,CA,Agriculture,Other Underwriting Guidelines,Nov,21350,2012,Corporate Accounts,a0kE0000001dKtRIAU,0,Workers Comp,0,0,6/27/2013,,,
EIL-NY-4202012-271995,New,0,005E0000003XUb2IAG,NJ,Agriculture,Other Underwriting Guidelines,Jun,15,2012,Small Business,a0kE0000001dLrgIAE,0,Workers Comp,0,0,6/27/2013,,,
GCS-PA-1182012-243224,New,0,005E0000003XUbFIAW,NJ,Agriculture,No Interest,Jan,54,2012,Small Business,a0kE0000001dLDSIA2,0,Workers Comp,0,0,6/27/2013,,,
SD-EIL-LA-14-430864,New,0,005E0000003Y2B6IAK,CA,Agriculture,Nature of Insured's Business,Sep,4,2014,NULL,a0kE0000001dKlXIAU,0,Workers Comp,0,0,7/28/2014,,,
SD-PCC-CHG-14-431223,New,0,005E000000487I5IAI,CA,Agriculture,NULL,Sep,7,2014,Small Business,a0kE0000001dLBjIAM,0,Workers Comp,0,0,7/30/2014,,,
SD-PCC-COL-14-432091,New,0,005E0000003XUbeIAG,CA,Agriculture,Nature of Insured's Business,Sep,7,2014,Small Business,a0kE0000001dLwmIAE,0,Workers Comp,0,0,8/1/2014,,,
SD-EIL-LA-14-435696,New,0,005E0000003Y2B6IAK,DC,Agriculture,No Broker Response,Sep,12,2014,NULL,a0kE000000561LNIAY,0,Workers Comp,0,0,8/14/2014,,,
SD-EIL-LA-14-434820,New,0,005E0000003Y2B6IAK,TX,Agriculture,No Broker Response,Sep,50,2014,Middle Market,a0kE0000001dL3YIAU,0,Workers Comp,0,0,8/11/2014,,,12
SD-GCS-CHG-14-465877,New,0,005E0000003XUdRIAW,CA,Agriculture,Other Underwriting Guidelines,Jan,5,2015,NULL,a0kE0000001dL0rIAE,0,Workers Comp,0,0,12/3/2014,,,
SD-EIL-KC-14-455738,New,0,005E0000003XUczIAG,MO,Agriculture,Not Suitable,Nov,90,2014,NULL,a0kE0000004Wr7PIAS,0,Workers Comp,0,0,10/22/2014,,,
SD-HFC-NYC-14-457216,New,0,005E00000068OfWIAU,IN,Agriculture,Nature of Insured's Business,Nov,10,2014,Small Business,a0kE0000001dLiBIAU,0,DBA,0,0,10/28/2014,,,
SD-NRG-ATL-14-439302,New,0,005E0000003XUd7IAG,AL,Agriculture,Insufficient Information,Sep,50,2014,NULL,a0kE0000001yl4SIAQ,0,Workers Comp,0,0,8/27/2014,,,
SD-PCC-SF-14-465359,New,0,005E00000046i3IIAQ,NY,Agriculture,NULL,Dec,6,2014,Small Business,a0kE0000001dL95IAE,0,Workers Comp,0,0,12/2/2014,,,
SD-PCC-CHG-14-465173,New,0,005E000000487I5IAI,TX,Agriculture,Other Underwriting Guidelines,Dec,7,2014,NULL,a0kE0000001yl4XIAQ,0,Workers Comp,0,0,12/2/2014,,,
SD-NRG-LA-14-444425,Renewal,1,005E0000003XUaLIAW,CA,Agriculture,NULL,Nov,200,2014,Middle Market,a0kE0000001dLCBIA2,1000000,Workers Comp,0,1253051,9/15/2014,10/22/2014,774595,7
SD-GCS-LA-14-466713,New,0,005E0000003XUasIAG,CA,Agriculture,Other Underwriting Guidelines,Jan,500,2015,Middle Market,a0kE0000001dKoOIAU,0,Workers Comp,0,0,12/8/2014,,,
SD-EIL-PHL-15-471704,New,0,005E0000005OuTLIA0,NC,Agriculture,Nature of Insured's Business,Feb,2,2015,NULL,a0kE0000001dM96IAE,0,Workers Comp,0,0,1/7/2015,,,
SD-EIL-HOU-15-471673,New,0,005E0000003XUbiIAG,TX,Agriculture,Incomplete Submission,Mar,65,2015,NULL,a0kE0000007NhDdIAK,0,Workers Comp,0,0,1/7/2015,,,
SD-PCC-SF-14-461286,New,0,005E00000046i3IIAQ,IA,Agriculture,NULL,Dec,1,2014,NULL,a0kE0000001dKkjIAE,0,Workers Comp,0,0,11/13/2014,,,
SD-NRG-ATL-14-470641,New,0,005E0000003XUd7IAG,AL,Agriculture,Reservation Conflict,Jan,100,2015,Middle Market,a0kE0000001dKjCIAU,0,Workers Comp,0,0,12/30/2014,,,
SD-PCC-SF-14-464547,New,0,005E00000046i3IIAQ,PA,Agriculture,NULL,Dec,491,2014,Middle Market,a0kE0000001dLLDIA2,0,Workers Comp,0,0,11/26/2014,,,
SD-NRG-ATL-14-455016,New,0,005E0000003XUd7IAG,MS,Agriculture,Below Minimum Premium,Jan,8,2015,NULL,a0kE00000048IYhIAM,0,Workers Comp,0,0,10/21/2014,,,
SD-EIL-LA-15-472176,New,1,005E0000003Y2B6IAK,CA,Agriculture,NULL,Jan,12,2015,Small Business,a0kE0000001dM20IAE,1000000,Workers Comp,0,95724,1/8/2015,1/28/2015,,7
SD-HFC-NYC-14-450684,Renewal,1,005E0000003XUd1IAG,AK,Agriculture,NULL,Dec,4450,2014,Middle Market,a0kE0000001dKlTIAU,50000000,Workers Compensation;DBA,0,-204020,10/6/2014,12/31/2014,0,10
SD-EIL-SF-14-462342,New,0,005E0000003XUfKIAW,WI,Agriculture,Not Suitable,Dec,105,2014,Middle Market,a0kE0000001dLyXIAU,0,Workers Comp,0,0,11/18/2014,,,
SD-NRG-PHL-14-468367,New,0,005E000000679SYIAY,AL,Agriculture,Below Minimum Premium,Feb,100,2015,Middle Market,a0kE0000001yl4XIAQ,0,Workers Comp,0,0,12/15/2014,,,
SD-PCC-CHG-15-476920,New,0,005E00000046i3IIAQ,IL,Agriculture,NULL,Apr,1,2015,NULL,a0kE0000001dLwcIAE,0,Workers Comp,0,0,1/26/2015,,,
SD-GCS-CHG-15-474423,New,0,005E0000003XUdRIAW,CA,Agriculture,Other Underwriting Guidelines,Feb,30,2015,NULL,a0kE0000001dL0rIAE,0,Workers Comp,0,0,1/15/2015,,,
SD-EIL-DEN-15-590601,New,0,005E0000005Q5zWIAS,LA,Agriculture,Loss History,Jan,6,2016,Small Business,a0kE0000001dM4uIAE,0,Workers Comp,0,0,12/15/2015,,,
SD-GCS-LA-15-566435,New,0,005E0000003XUfIIAW,CA,Agriculture,NULL,Nov,21350,2015,Corporate Accounts,a0kE0000001dKrQIAU,1000000,Workers Comp,500000,14718,9/11/2015,,,
SD-EIL-NYC-16-598112,New,0,005E0000003XUbMIAW,CT,Agriculture,Reservation Conflict,Feb,4,2016,NULL,a0kE0000001dKvmIAE,0,Workers Comp,0,0,1/21/2016,,,
SD-EIL-HOU-16-598148,New,0,005E0000003XUbiIAG,CT,Agriculture,Reservation Conflict,Feb,4,2016,NULL,a0kE0000001dKvmIAE,0,Workers Comp,0,0,1/21/2016,,,
SD-GCS-PHL-16-602000,New,0,005E00000067rCUIAY,PA,Agriculture,NULL,May,2100,2016,National Accounts,a0kE0000001dLTeIAM,0,Workers Comp,0,0,1/29/2016,,,
SD-PCC-CHG-15-571301,New,0,005E00000046i3IIAQ,MN,Agriculture,NULL,Oct,11,2015,Small Business,a0kE0000001dLrlIAE,0,Workers Comp,0,0,10/2/2015,,,
SD-PCC-ATL-15-574589,New,0,005E00000068g79IAA,PA,Agriculture,Nature of Insured's Business,Nov,40,2015,Small Business,a0kE0000001dLEtIAM,0,Workers Comp,0,0,10/13/2015,,,
SD-GCS-LA-15-574341,New,0,005E0000003XUasIAG,CA,Agriculture,Other Underwriting Guidelines,Jan,12000,2016,NULL,a0kE0000001dKiJIAU,0,Workers Comp,0,0,10/13/2015,,,
SD-EIL-LA-15-579238,Renewal,1,005E0000003Y2B6IAK,CA,Agriculture,NULL,Jan,12,2016,Small Business,a0kE0000001dM20IAE,1000000,Workers Comp,0,120806,10/30/2015,1/28/2016,95724,7
SD-HFC-NYC-15-571368,Renewal,1,005E00000068OfWIAU,AK,Agriculture,NULL,Dec,4450,2015,Middle Market,a0kE0000001dKnYIAU,50000000,Workers Compensation;DBA;Employers Liability,0,491265,10/2/2015,12/31/2015,0,10
SD-EIL-HOU-15-582526,New,0,005E0000003XUbNIAW,TX,Agriculture,No Broker Response,Mar,65,2016,NULL,a0kE0000007NhDdIAK,0,Workers Comp,0,0,11/12/2015,,,
