TABLE,COLUMN,TITLE,TYPE,LENGTH,ATTRIBUT,DOMTAB,DOMCOL,MEANTAB,MEANCOL,INITVAL,FORMULA,MISSING,MESSAGE
MESSAGE,MESSAGE,Message identification number,N,8,P, , , , , , ,.,.
MESSAGE,TEXT,Message text,C,80, , , , , , , , ,.
MESSAGE,MESTYPE,Message type: E—rror message W—warning I—informative message,C,1, , , , , ,W, , ,.
MESSAGE,OUTPUT,Output message destination: S—screen and/or D—dataset,C,2, , , , , ,S, , ,.
LINK,TABLE,Table name,C,32,P, , , , , , , ,.
LINK,RELTABLE,Name of the related table,C,32,P, , , , , , , ,.
LINK,COLUMN,Column name,C,32,P, , , , , , , ,.
LINK,RELCOL,Name of the column from the related table,C,32,P, , , , , , , ,.
INPUT,INPUT_ID,Input ID,C,8,P, , , , , , , ,.
INPUT,TITLE,Input ID title,C,80, , , , , , , , ,.
INPUT,DATASET,Dataset (file) name,C,32, , , , , , , , ,.
INPUT,OUTLIER_DETECTION_ID,Reference to the primary key of the Outlier_Detection table,C,8, , , , , , , , ,.
INPUT,BIAS_CORRECTION_ID,Reference to the primary key of the Bias_Correction table,C,8, , , , , , , , ,.
INPUT,OUTPUT_TABLE_ID,Reference to the primary key of the Output table,C,8, , , , , , , , ,.
STRUCTURE,DATASET,Dataset name ,C,32,P, , , , , , , ,.
STRUCTURE,VARIABLE_NAME,Variable name ,C,32,P, , , , , , , ,.
STRUCTURE,VARIABLE_TITLE,Variable title ,C,80, , , , , , , , ,.
STRUCTURE,VARIABLE_TYPE,Variable type: C—character or N—numeric,C,1, , , , , , , , ,.
STRUCTURE,VARIABLE_LENGTH,Variable length ,N,8, , , , , , , ,.,.
STRUCTURE,VARIABLE_ROLE,Variable role: F(eature) or L(abel) ,C,1, , , , , , , , ,.
STRUCTURE,FORMULA,Formula for computed variable ,C,80, , , , , , , , ,.
STRUCTURE,MISSING,Code of missing value,C,1, , , , , , , , ,.
OUTLIER_DETECTION,OUTLIER_DETECTION_ID,Outlier detection procedure ID,C,8,P, , , , , , , ,.
OUTLIER_DETECTION,METHOD,Method name ,C,8, , , , , , , , ,.
